"title","url","stars","name","reviewUrl","text"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Lovely to watch the sunset under sail. Fantastic service and plenty of tapas"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Unreal!! Staff were so lovely, kept all our glasses topped up (to the brim) and so much food we couldn’t possibly eat anymore, also so delicious and catered for dietaries very well. Perfect view of the sunset from all angles, could not recommend more, especially for families!"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Fabulous champagne sunset cruise! The staff were lovely, comfortable seating, food was delicious and the drinks topped up frequently. The captain manœuvred the catamaran so we had a perfect view of the sunset in front of us and we all got great photos.
Great selection of music added to the fun atmosphere. I highly recommend this cruise!!!"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"This is great fun, the all-female crew were amazing, managed to sail the catamaran while serving drinks & plentiful food. We also happened to have sunset & full moon, which was great timing too. Highly recommended."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Fantastic!!! I highly recommend, food & drink were plentiful, bean bags on deck were very comfy. Staff were excellent. Got awesome pics"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Amazing Cruise! Absolutely without a doubt the best cruise I have ever been on. You get on board sit on comfy bean bags and look at the most beautiful views of Darwin Harbour and sail into the Sunset which was spectacular. The Champagne flowed from the minute you set sail . The  food was amazing with around 7 different tapas platters being served to you constantly. The music played was fantastic. The whole experience was so relaxing and we wouldn’t hesitate to do it again. Do yourselves a favour and enjoy the experience you won’t regret it. Thank you 💙"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"This cruiae couldn't have been better. Plenty of food and wine kept flowing topped with excellent sailing into the sunset. Seating was on comfortable bean bags over netting floor, which kept us closer to the sea. We were so glad we chose this sunset cruise over the alternative - well worth the money."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Wow. What an awesome way to see a Darwin Sunset on a Catamaran. Great food, bottomless bubbles, everyone friendly and fantastic music. And an all female crew. What's not to love."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Had a great evening yesterday on a Champagne sunset tour. The guys and gals on the tour all had great time! Recommend as a must do when you’re in Darwin"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"What a wonderful experience we had aboard the Sundancer. The drinks literally never stopped, the food was incredible and so much of it and fabulous music as well. The sunsets are spectacular no doubt but really the experience aboard was priceless. Thank you to a fabulous crew, a must do in Darwin!"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"This cruise exceeded expectations! If considering a sunset cruise this is the one! Absolutely amazing... free flowing Champagne and more food that you can eat! Small group  comfortable seating and friendly staff! 5 stars!!!"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Booked via website after reading the reviews on all the different cruise companies. Received confirmation via email, boat departed on time. Professional operation.  Boat was not crowded.

Chose beanbag seats (very comfy) at the front on the side, great views both ways. Weather was perfect, sea very flat and smooth.

Friendly staff who constantly topped up the bubbles, which were surprisingly nice! The generous servings of tapas are served in your seats course by course: beetroot dip & pita; corn chips & guacamole; satay chicken skewers; bao buns; arancini balls; gyoza; barramundi; haloumi on zucchini and chocolate cake.  Tip: don’t wear a skirt or white.

Great atmosphere, very relaxing and wonderful way to see the landmarks.

We were treated to an extra ‘show’ on a passing bucks party boat - if you were on our cruise you will know what I’m referring to woof woof bahahahaha.

Highly recommend and we would do again in a heart beat. Worth the extra $ :-)"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"The best way to experience a gorgeous Darwin sunset.

Staff were great, beautiful good and endless champagne.

It was one of our highlights of our time in Darwin."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Absolutely amazing! The all female crew were brilliant, friendly and entertaining. Food was wonderful, the champagne was pretty good too. Superb. Recommend it 100%."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Amazing experience with great staff!! Good food and drinks kept flowing!!! Great option for a more intimate smaller sunset cruise"
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Great cruise, food and service. Can highly recommend Sail Darwin. You will not be disappointed."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"Great experience, highly recommended it.the staff were great."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","5",,,"An absolute must do when visiting Darwin. The crew were amazing, always making sure your wine glass was full (there's definitely no scrimping on the champers!) and bringing around lovely food to enjoy. I would definitely do this cruise again."
"Sail Darwin!","https://www.google.com/maps/search/?api=1&query=Sail%20Darwin!&query_place_id=ChIJwzb0UZCRwCwRNqMdvx7l45o","3",,,"Food was okay, crews were friendly enough but except the cruise pilot"
